item_uuid,item_name,category,origin_region,origin_country,serving_size,price
5f631842,Chateau Mauvesin Barton 2018,Bordeaux,Moulis-en-Medoc,France,750,99
ff535fe2,Domaine de Viaud 2001,Bordeaux,Lalande-de-Pomerol,France,750,99
e94b2cbc,"Damien Bielle, Marius Bielle Lalande de Pomerol 2018",Bordeaux,Lalande-de-Pomerol,France,750,105
9133ddf8,Domaine de lA 2017,Bordeaux,Cotes de Castillon,France,750,110
ab8eb7e9,Chateau Phelan Segur 2018,Bordeaux,Saint-Estephe,France,750,156
f162c824,"Chateau Margaux, Margaux du Margaux",Bordeaux,Margaux,France,125,26
89d4cb31,"Chateau Margaux, Margaux du Margaux",Bordeaux,Margaux,France,750,159
211fb86a,Chateau Cos dEstournel 2018,Bordeaux,Saint-Estephe,France,750,365
8de4b0ed,Carillon de lAngelus 2014,Bordeaux,Saint-Emilion,France,750,450
688c6354,Au Pied du Mont Chauve 2020,Burgundy,Cote Chalonnaise,France,125,18
f6c02dc6,Au Pied du Mont Chauve 2020,Burgundy,Cote Chalonnaise,France,750,90
af89636f,Domaine Charton La Chassiere 2019,Burgundy,Mercurey 1er Cru,France,750,101
41bab715,Domaine Coillot Boivins 2019,Burgundy,Marsannay,France,750,105
fd349771,Sebastien Magnien Les Perrieres 2020,Burgundy,Pommard,France,750,125
60c2b318,Domaine Olivier Leflaive Clos des Angles 2014,Burgundy,Volnay 1er Cru,France,750,200
4f9a5a8b,Louis Jadot Domaine Gagey Grand Cru 2013,Burgundy,Clos-St Denis,France,750,420
1186a27e,Comtes Lafon Santenots du Milieu 2001,Burgundy,Volnay 1er Cru,France,750,515
147f3fa8,Alcaudon Tempranillo Crianza 2019,Magnums,Rioja,Spain,1500,100
0e464281,Bodega Luigi Bosca De Sangre Malbec 2021,Magnums,Mendoza,Argentina,1500,125
1aad8337,Hartenberg Cabernet Sauvignon 2017,Magnums,Stellenbosch,South Africa,1500,125
c0060fed,Dominio del Aguila Picaro del Aguila 2021,Magnums,Ribera del Duero,Spain,1500,164
c0fe5c50,Quinta da Pedra Alta Alto 2018,Magnums,Douro,Portugal,1500,180
6dc8ac03,Lopez de Heredia Vina Tondonia Reserva 2010,Magnums,Rioja,Spain,1500,198
5ac88cbe,Charmes de Kirwan Margaux 2016,Magnums,Bordeaux,France,1500,225
31c32831,Milsetentayseis 1076 Tempranillo 2019,Magnums,Ribera del Duero,Spain,1500,250
cf953917,Abadia Retuerta Seleccion Especial 2014 Jeroboam,Magnums,Sardon de Duero,Spain,3000,360
ac8c3f5e,Chateau Montelena Estate Cabernet Sauvignon 2001,Magnums,Napa Valley,USA,1500,1100
bdc134c5,Quinta da Pedra Alta 10YO Tawny,Port & Sherry,Douro,Portugal,70,9
9a6b22d8,Quinta da Pedra Alta 10YO Tawny,Port & Sherry,Douro,Portugal,500,45
13b74b90,Quinta de la Rosa Vintage Port 2009,Port & Sherry,Douro,Portugal,70,10
3a898f29,Quinta de la Rosa Vintage Port 2009,Port & Sherry,Douro,Portugal,750,105
ff5ecee6,Warre's 1963,Port & Sherry,Douro,Portugal,750,500
400f441d,Graham's 1966,Port & Sherry,Douro,Portugal,750,600
13ea79a1,Lustau Papirusa Manzanilla,Port & Sherry,Jerez,Spain,70,6
3209edd7,Lustau Papirusa Manzanilla,Port & Sherry,Jerez,Spain,750,45
d88d55b0,Lustau Los Arcos Amontillado,Port & Sherry,Jerez,Spain,70,6
9699e4a9,Lustau Los Arcos Amontillado,Port & Sherry,Jerez,Spain,750,45
b5fd78cd,Lustau San Emilio Pedro Ximenes,Port & Sherry,Jerez,Spain,70,9
60169350,Lustau San Emilio Pedro Ximenes,Port & Sherry,Jerez,Spain,750,65
c458a31c,Toro Albala Don PX Gran Reserva 1994,Port & Sherry,Montilla-Moriles,Spain,375,60
27f5d417,Tacchino Moscato dAsti 2021,Dessert Wines,Piedmont,Italy,750,30
fb9ac421,Braida Brachetto dAcqui,Dessert Wines,Piedmont,Italy,70,7
07bfcc8b,Braida Brachetto dAcqui,Dessert Wines,Piedmont,Italy,375,30
dd47305e,Pedra Alta Quinta No.3 White Port,Dessert Wines,Porto,Portugal,70,7
e0d3882f,Pedra Alta Quinta No.3 White Port,Dessert Wines,Porto,Portugal,500,35
3e6fd7c2,Hartenberg Late Harvest Riesling 2020,Dessert Wines,Stellenbosch,South Africa,375,45
43926e7d,Domaine de Cabidos Petit Manseng 2015,Dessert Wines,Bearn,France,70,9
4d1344d0,Domaine de Cabidos Petit Manseng 2015,Dessert Wines,Bearn,France,750,50
aee1989a,Domaine de Schistes Muscat Joia 2021,Dessert Wines,Cotes du Roussillon,France,70,7
cd0595f5,Domaine de Schistes Muscat Joia 2021,Dessert Wines,Cotes du Roussillon,France,750,55
fae2befb,Sauska Tokaji Aszu 5 Puttonyos 2019,Dessert Wines,Tokaj,Hungary,70,12
ef91fe04,Sauska Tokaji Aszu 5 Puttonyos 2019,Dessert Wines,Tokaj,Hungary,500,60
c85670a4,Chateau Filhot Sauternes 2015,Dessert Wines,Bordeaux,France,70,15
292a575e,Chateau Filhot Sauternes 2015,Dessert Wines,Bordeaux,France,750,60
6baf6bb2,Klein Constantia Vin de Constance 2018,Dessert Wines,Cape Peninsula,South Africa,500,160
